,Player,All_NBA,All.Star,Draft_Yr,Pk,Team,College,Yrs,Games,Minutes.Played,PTS,TRB,AST,FG_Percentage,TP_Percentage,FT_Percentage,Minutes.per.Game,Points.per.Game,TRB.per.game,Assits.per.Game,Win.Share,WS_per_game,BPM,VORP,Executive,Tenure,Exec_ID,Exec_draft_exp,attend_college,first_year,second_year,third_year,fourth_year,fifth_year
923,Royce White,0,0,2012,16,HOU,Iowa State University,1,3,9,0,0,0,0,0,0,3,0,0,0,0,-0.121,-10.4,0,Daryl Morey,3435 days 00:00:00.000000000,34,5,1,0,0,0,1,0
924,Terrence Jones,0,0,2012,18,HOU,University of Kentucky,4,178,4287,1845,1024,179,0.512,0.314,0.628,24.1,10.4,5.8,1,12.5,0.14,0.6,2.8,Daryl Morey,3435 days 00:00:00.000000000,34,5,1,0,0,0,1,0
925,Isaiah Canaan,0,0,2013,34,HOU,Murray State University,3,146,3156,1379,285,257,0.368,0.363,0.818,21.6,9.4,2,1.8,3,0.046,-2.6,-0.5,Daryl Morey,3435 days 00:00:00.000000000,34,6,1,0,0,1,0,0
926,Clint Capela,0,0,2014,25,HOU,0,2,89,1561,574,530,49,0.575,0,0.359,17.5,6.4,6,0.6,4.5,0.137,0,0.8,Daryl Morey,3435 days 00:00:00.000000000,34,7,0,0,1,0,0,0
927,Nick Johnson,0,0,2014,42,HOU,University of Arizona,1,28,262,74,39,11,0.347,0.238,0.68,9.4,2.6,1.4,0.4,-0.1,-0.02,-7.3,-0.3,Daryl Morey,3435 days 00:00:00.000000000,34,7,1,0,1,0,0,0
928,Sam Dekker,0,0,2015,18,HOU,University of Wisconsin,1,3,6,0,1,0,0,0,0,2,0,0.3,0,0,0.116,0.5,0,Daryl Morey,3435 days 00:00:00.000000000,34,8,1,1,0,0,0,0
929,Montrezl Harrell,0,0,2015,32,HOU,University of Louisville,1,39,379,140,65,17,0.644,0,0.522,9.7,3.6,1.7,0.4,0.9,0.118,-1.9,0,Daryl Morey,3435 days 00:00:00.000000000,34,8,1,1,0,0,0,0
930,Jose Ortiz,0,0,1987,15,UTA,Oregon State University,2,64,391,183,73,18,0.443,0.333,0.596,6.1,2.9,1.1,0.3,0,0.002,-5.4,-0.3,Dave Checketts,717 days 00:00:00.000000000,35,1,1,0,0,0,0,0
931,Clarence Martin,0,0,1987,61,UTA,Western Kentucky University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dave Checketts,717 days 00:00:00.000000000,35,1,1,0,0,0,0,0
932,Billy Donovan,0,0,1987,68,UTA,Providence College,1,44,364,105,25,87,0.404,0,0.81,8.3,2.4,0.6,2,-0.1,-0.009,-7.4,-0.5,Dave Checketts,717 days 00:00:00.000000000,35,1,1,0,0,0,0,0
933,Reuben Holmes,0,0,1987,84,UTA,Alabama State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dave Checketts,717 days 00:00:00.000000000,35,1,1,0,0,0,0,0
934,Bart Kofoed,0,0,1987,107,UTA,University of Nebraska at Kearney,5,111,702,162,56,108,0.387,0.188,0.614,6.3,1.5,0.5,1,0,0.002,-6,-0.7,Dave Checketts,717 days 00:00:00.000000000,35,1,1,0,0,0,0,0
935,Art Sabb,0,0,1987,130,UTA,Bloomfield College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dave Checketts,717 days 00:00:00.000000000,35,1,1,0,0,0,0,0
936,Keith Webster,0,0,1987,153,UTA,Harvard University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dave Checketts,717 days 00:00:00.000000000,35,1,1,0,0,0,0,0
937,Eric Leckner,0,0,1988,17,UTA,University of Wyoming,8,449,5448,1835,1418,211,0.508,0,0.669,12.1,4.1,3.2,0.5,6.2,0.054,-4.9,-4,Dave Checketts,717 days 00:00:00.000000000,35,2,1,0,0,0,0,0
938,Jeff Moe,0,0,1988,42,UTA,University of Iowa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dave Checketts,717 days 00:00:00.000000000,35,2,1,0,0,0,0,0
939,Ricky Grace,0,0,1988,67,UTA,University of Oklahoma,1,3,8,4,1,1,0.667,0,0,2.7,1.3,0.3,0.3,0,0.103,-4.4,0,Dave Checketts,717 days 00:00:00.000000000,35,2,1,0,0,0,0,0
940,Frederic Weis,0,0,1999,15,NYK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dave Checketts,111 days 00:00:00.000000000,35,3,0,0,0,0,0,0
941,J.R. Koch,0,0,1999,46,NYK,University of Iowa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dave Checketts,111 days 00:00:00.000000000,35,3,1,0,0,0,0,0
942,Trent Tucker,0,0,1982,6,NYK,University of Minnesota,11,756,15671,6236,1520,1532,0.461,0.408,0.754,20.7,8.2,2,2,34.3,0.105,0.3,9,Dave DeBusschere,1324 days 00:00:00.000000000,36,1,1,0,0,0,0,0
943,Scott Hastings,0,0,1982,29,NYK,University of Arkansas,11,578,5985,1647,1287,284,0.441,0.292,0.811,10.4,2.8,2.2,0.5,9.8,0.079,-2.1,-0.1,Dave DeBusschere,1324 days 00:00:00.000000000,36,1,1,0,0,0,0,0
944,Vince Taylor,0,0,1982,34,NYK,Duke University,1,31,321,95,36,41,0.363,0,0.656,10.4,3.1,1.2,1.3,0.1,0.009,-2.5,0,Dave DeBusschere,1324 days 00:00:00.000000000,36,1,1,0,0,0,0,0
945,Dan Caldwell,0,0,1982,52,NYK,University of Washington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dave DeBusschere,1324 days 00:00:00.000000000,36,1,1,0,0,0,0,0
946,Craig Tucker,0,0,1982,57,NYK,University of Illinois at Urbana-Champaign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dave DeBusschere,1324 days 00:00:00.000000000,36,1,1,0,0,0,0,0
947,Norm Anchrum,0,0,1982,75,NYK,University of Alabama at Birmingham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dave DeBusschere,1324 days 00:00:00.000000000,36,1,1,0,0,0,0,0
948,Aaron Howard,0,0,1982,98,NYK,Villanova University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dave DeBusschere,1324 days 00:00:00.000000000,36,1,1,0,0,0,0,0
949,Mike Kanieski,0,0,1982,121,NYK,University of Dayton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dave DeBusschere,1324 days 00:00:00.000000000,36,1,1,0,0,0,0,0
950,Phil Seymore,0,0,1982,144,NYK,Canisius College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dave DeBusschere,1324 days 00:00:00.000000000,36,1,1,0,0,0,0,0
951,Dan Terwilliger,0,0,1982,167,NYK,Siena College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dave DeBusschere,1324 days 00:00:00.000000000,36,1,1,0,0,0,0,0
952,Merle Scott,0,0,1982,190,NYK,South Carolina State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dave DeBusschere,1324 days 00:00:00.000000000,36,1,1,0,0,0,0,0
953,John Leonard,0,0,1982,211,NYK,Manhattan College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dave DeBusschere,1324 days 00:00:00.000000000,36,1,1,0,0,0,0,0
954,Charles Jones,0,0,1983,196,NYK,Marshall University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dave DeBusschere,1324 days 00:00:00.000000000,36,2,1,0,0,0,0,0
955,Darrell Walker,0,0,1983,12,NYK,University of Arkansas,10,720,18601,6389,3134,3276,0.435,0.059,0.713,25.8,8.9,4.4,4.6,27.4,0.071,1,14.2,Dave DeBusschere,1324 days 00:00:00.000000000,36,2,1,0,0,0,0,0
956,Mark Jones,0,0,1983,82,NYK,St. Bonaventure University,1,6,16,7,2,5,0.5,0,0.5,2.7,1.2,0.3,0.8,0,0.07,-2.5,0,Dave DeBusschere,1324 days 00:00:00.000000000,36,2,1,0,0,0,0,0
957,Troy Lee Mikell,0,0,1983,105,NYK,East Tennessee State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dave DeBusschere,1324 days 00:00:00.000000000,36,2,1,0,0,0,0,0
958,Tony Simms,0,0,1983,128,NYK,Boston University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dave DeBusschere,1324 days 00:00:00.000000000,36,2,1,0,0,0,0,0
959,Desi Barimore,0,0,1983,151,NYK,"California State University, Fresno",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dave DeBusschere,1324 days 00:00:00.000000000,36,2,1,0,0,0,0,0
960,Mike Lang,0,0,1983,174,NYK,Pennsylvania State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dave DeBusschere,1324 days 00:00:00.000000000,36,2,1,0,0,0,0,0
961,Bernard Randolph,0,0,1983,217,NYK,DePaul University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dave DeBusschere,1324 days 00:00:00.000000000,36,2,1,0,0,0,0,0
962,Curtis Green,0,0,1984,64,NYK,University of Southern Mississippi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dave DeBusschere,1324 days 00:00:00.000000000,36,3,1,0,0,0,0,0
963,Bob Thornton,0,0,1984,87,NYK,"University of California, Irvine",8,283,3386,844,712,99,0.444,0.222,0.558,12,3,2.5,0.3,1.3,0.018,-4.8,-2.4,Dave DeBusschere,1324 days 00:00:00.000000000,36,3,1,0,0,0,0,0
964,Eddie Lee Wilkins,0,0,1984,133,NYK,Gardner-Webb University,6,322,3787,1534,1002,62,0.47,0,0.564,11.8,4.8,3.1,0.2,2.5,0.032,-6.8,-4.6,Dave DeBusschere,1324 days 00:00:00.000000000,36,3,1,0,0,0,0,0
965,Ken Bannister,0,0,1984,156,NYK,Saint Augustine's College,5,253,3867,1501,893,111,0.488,0,0.492,15.3,5.9,3.5,0.4,0.6,0.007,-5.5,-3.4,Dave DeBusschere,1324 days 00:00:00.000000000,36,3,1,0,0,0,0,0
966,Ricky Tunstall,0,0,1984,179,NYK,Youngstown State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dave DeBusschere,1324 days 00:00:00.000000000,36,3,1,0,0,0,0,0
967,Marc Marotta,0,0,1984,201,NYK,Marquette University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dave DeBusschere,1324 days 00:00:00.000000000,36,3,1,0,0,0,0,0
968,Mike Henderson,0,0,1984,223,NYK,"Long Island University, C.W. Post Campus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dave DeBusschere,1324 days 00:00:00.000000000,36,3,1,0,0,0,0,0
969,Patrick Ewing,7,11,1985,1,NYK,Georgetown University,17,1183,40594,24815,11607,2215,0.504,0.152,0.74,34.3,21,9.8,1.9,126.4,0.15,2,40.9,Dave DeBusschere,1324 days 00:00:00.000000000,36,4,1,0,0,0,0,0
970,Gerald Wilkins,0,0,1985,47,NYK,University of Tennessee at Chattanooga,13,900,26084,11736,2646,2697,0.45,0.316,0.745,29,13,2.9,3,33.9,0.062,-1.1,5.6,Dave DeBusschere,1324 days 00:00:00.000000000,36,4,1,0,0,0,0,0
971,Fred Cofield,0,0,1985,73,NYK,Eastern Michigan University,2,50,496,169,51,86,0.395,0.188,0.6,9.9,3.4,1,1.7,-0.5,-0.044,-5.9,-0.5,Dave DeBusschere,1324 days 00:00:00.000000000,36,4,1,0,0,0,0,0
972,Mike Schlegel,0,0,1985,96,NYK,Virginia Commonwealth University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dave DeBusschere,1324 days 00:00:00.000000000,36,4,1,0,0,0,0,0
973,Kent Lockhart,0,0,1985,119,NYK,University of Texas at El Paso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dave DeBusschere,1324 days 00:00:00.000000000,36,4,1,0,0,0,0,0
974,Ken Bantum,0,0,1985,142,NYK,Cornell University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dave DeBusschere,1324 days 00:00:00.000000000,36,4,1,0,0,0,0,0
975,Dee Brown,0,0,1990,19,BOS,Jacksonville University,12,608,16843,6758,1569,2227,0.436,0.357,0.825,27.7,11.1,2.6,3.7,33.4,0.095,0.6,11,Dave Gavitt,1476 days 00:00:00.000000000,37,1,1,0,0,0,0,0
976,Rick Fox,0,0,1991,24,BOS,University of North Carolina,13,930,23723,8966,3517,2649,0.45,0.349,0.77,25.5,9.6,3.8,2.8,44.7,0.09,1,17.6,Dave Gavitt,1476 days 00:00:00.000000000,37,2,1,0,0,0,0,0
977,Jon Barry,0,0,1992,21,BOS,Georgia Institute of Technology,14,821,13880,4715,1513,1784,0.434,0.392,0.848,16.9,5.7,1.8,2.2,37.2,0.129,0.8,9.8,Dave Gavitt,1476 days 00:00:00.000000000,37,3,1,0,0,0,0,0
978,Darren Morningstar,0,0,1992,47,BOS,University of Pittsburgh,1,23,367,96,81,15,0.476,0,0.6,16,4.2,3.5,0.7,0.4,0.048,-3.7,-0.2,Dave Gavitt,1476 days 00:00:00.000000000,37,3,1,0,0,0,0,0
979,Acie Earl,0,0,1993,19,BOS,University of Iowa,4,193,2512,980,517,61,0.403,0,0.667,13,5.1,2.7,0.3,0.3,0.005,-6.9,-3.1,Dave Gavitt,1476 days 00:00:00.000000000,37,4,1,0,0,0,0,0
980,Alonzo Mourning,2,7,1992,2,NOH,Georgetown University,15,838,25975,14311,7137,946,0.527,0.247,0.692,31,17.1,8.5,1.1,89.7,0.166,1.7,24,Dave Twardzik,1387 days 00:00:00.000000000,38,1,1,0,0,0,0,0
981,Tony Bennett,0,0,1992,35,NOH,University of Wisconsin-Green Bay,3,152,1886,538,155,303,0.412,0.335,0.732,12.4,3.5,1,2,1.6,0.041,-3.9,-0.9,Dave Twardzik,1387 days 00:00:00.000000000,38,1,1,0,0,0,0,0
982,Greg Graham,0,0,1993,17,NOH,Indiana University,5,207,2530,938,219,201,0.407,0.29,0.775,12.2,4.5,1.1,1,1.3,0.025,-4.4,-1.6,Dave Twardzik,1387 days 00:00:00.000000000,38,2,1,0,0,0,0,0
983,Scott Burrell,0,0,1993,20,NOH,University of Connecticut,8,383,7592,2647,1332,527,0.418,0.373,0.723,19.8,6.9,3.5,1.4,16.4,0.104,1.2,6.1,Dave Twardzik,1387 days 00:00:00.000000000,38,2,1,0,0,0,0,0
984,Darrin Hancock,0,0,1994,38,NOH,University of Kansas,3,133,1395,467,169,89,0.53,0.333,0.579,10.5,3.5,1.3,0.7,1.1,0.038,-3.4,-0.5,Dave Twardzik,1387 days 00:00:00.000000000,38,3,1,0,0,0,0,0
985,Joe Smith,0,0,1995,1,GSW,University of Maryland,16,1030,27022,11208,6575,1010,0.455,0.238,0.79,26.2,10.9,6.4,1,60.3,0.107,-1.1,5.9,Dave Twardzik,757 days 00:00:00.000000000,38,4,1,0,0,0,0,0
986,Andrew DeClercq,0,0,1995,34,GSW,University of Florida,10,587,9847,2815,2488,339,0.507,0,0.621,16.8,4.8,4.2,0.6,19.3,0.094,-1,2.4,Dave Twardzik,757 days 00:00:00.000000000,38,4,1,0,0,0,0,0
987,Dwayne Whitfield,0,0,1995,40,GSW,Jackson State University,1,8,122,40,25,2,0.433,0,0.636,15.3,5,3.1,0.3,0,0.01,-8.5,-0.2,Dave Twardzik,757 days 00:00:00.000000000,38,4,1,0,0,0,0,0
988,Martin Lewis,0,0,1995,50,GSW,Seward County Community College,2,25,239,89,35,7,0.473,0.3,0.593,9.6,3.6,1.4,0.3,0.1,0.026,-5.8,-0.2,Dave Twardzik,757 days 00:00:00.000000000,38,4,1,0,0,0,0,0
989,Michael McDonald,0,0,1995,55,GSW,University of New Orleans,1,1,4,0,1,0,0,0,0,4,0,1,0,-0.1,-0.638,-23.4,0,Dave Twardzik,757 days 00:00:00.000000000,38,4,1,0,0,0,0,0
990,Todd Fuller,0,0,1996,11,GSW,North Carolina State University,5,225,2500,835,674,46,0.422,0,0.668,11.1,3.7,3,0.2,2.2,0.041,-7.1,-3.2,Dave Twardzik,757 days 00:00:00.000000000,38,5,1,0,0,0,0,0
991,Marcus Mann,0,0,1996,40,GSW,Mississippi Valley State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dave Twardzik,757 days 00:00:00.000000000,38,5,1,0,0,0,0,0
992,Fran Vazquez,0,0,2005,11,ORL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Dave Twardzik, Otis Smith",406 days 00:00:00.000000000,39,1,0,0,0,0,0,0
993,Travis Diener,0,0,2005,38,ORL,Marquette University,5,179,2660,854,243,432,0.388,0.353,0.847,14.9,4.8,1.4,2.4,5.6,0.102,-1.8,0.1,"Dave Twardzik, Otis Smith",406 days 00:00:00.000000000,39,1,1,0,0,0,0,0
994,Martynas Andriuskevicius,0,0,2005,44,ORL,0,1,6,9,0,4,0,0,0,0,1.5,0,0.7,0,0,0.155,0.1,0,"Dave Twardzik, Otis Smith",406 days 00:00:00.000000000,39,1,0,0,0,0,0,0
995,Kurt Thomas,0,0,1995,10,MIA,Texas Christian University,18,1110,27160,8973,7328,1204,0.486,0.281,0.76,24.5,8.1,6.6,1.1,64.2,0.114,-0.1,13.2,Dave Wohl,643 days 00:00:00.000000000,40,1,1,0,0,0,0,0
996,George Banks,0,0,1995,46,MIA,University of Texas at El Paso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dave Wohl,643 days 00:00:00.000000000,40,1,1,0,0,0,0,0
997,Andrew Wiggins,0,0,2014,1,CLE,University of Kansas,2,163,5814,3062,666,334,0.449,0.304,0.76,35.7,18.8,4.1,2,6.2,0.051,-2.2,-0.3,David Griffin,967 days 00:00:00.000000000,41,1,1,0,1,0,0,0
998,Joe Harris,0,0,2014,33,CLE,University of Virginia,2,56,508,139,44,28,0.395,0.364,0.6,9.1,2.5,0.8,0.5,0.2,0.017,-4.6,-0.3,David Griffin,967 days 00:00:00.000000000,41,1,1,0,1,0,0,0
999,Tyus Jones,0,0,2015,24,CLE,Duke University,1,37,573,156,47,108,0.359,0.302,0.718,15.5,4.2,1.3,2.9,0.3,0.027,-3.7,-0.3,David Griffin,967 days 00:00:00.000000000,41,2,1,1,0,0,0,0
1000,Sir'Dominic Pointer,0,0,2015,53,CLE,St. John's University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,David Griffin,967 days 00:00:00.000000000,41,2,1,1,0,0,0,0
1001,Ricky Rubio,0,0,2009,5,MIN,0,5,278,8748,2817,1193,2309,0.368,0.318,0.815,31.5,10.1,4.3,8.3,17.1,0.094,1.4,7.5,David Kahn,1442 days 00:00:00.000000000,42,1,0,0,0,0,0,0
1002,Jonny Flynn,0,0,2009,6,MIN,Syracuse University,3,163,3738,1504,307,634,0.4,0.338,0.809,22.9,9.2,1.9,3.9,-1.1,-0.015,-4.9,-2.7,David Kahn,1442 days 00:00:00.000000000,42,1,1,0,0,0,0,0
1003,Ty Lawson,0,0,2009,18,MIN,University of North Carolina,7,482,14356,6296,1327,2982,0.461,0.366,0.766,29.8,13.1,2.8,6.2,38.9,0.13,0.9,10.6,David Kahn,1442 days 00:00:00.000000000,42,1,1,0,0,0,0,0
1004,Wayne Ellington,0,0,2009,28,MIN,University of North Carolina,7,453,8882,3221,959,490,0.411,0.376,0.848,19.6,7.1,2.1,1.1,7.4,0.04,-3.1,-2.5,David Kahn,1442 days 00:00:00.000000000,42,1,1,0,0,0,0,0
1005,Nick Calathes,0,0,2009,45,MIN,University of Florida,2,129,2011,590,243,353,0.441,0.288,0.581,15.6,4.6,1.9,2.7,2.6,0.063,-0.7,0.6,David Kahn,1442 days 00:00:00.000000000,42,1,1,0,0,0,0,0
1006,Henk Norel,0,0,2009,47,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,David Kahn,1442 days 00:00:00.000000000,42,1,0,0,0,0,0,0
1007,Wesley Johnson,0,0,2010,4,MIN,Syracuse University,6,429,10642,3518,1455,538,0.408,0.344,0.747,24.8,8.2,3.4,1.3,8.2,0.037,-1.2,2.2,David Kahn,1442 days 00:00:00.000000000,42,2,1,0,0,0,0,0
1008,Luke Babbitt,0,0,2010,16,MIN,"University of Nevada, Reno",6,263,3552,1235,609,157,0.407,0.403,0.744,13.5,4.7,2.3,0.6,4.5,0.06,-2.9,-0.8,David Kahn,1442 days 00:00:00.000000000,42,2,1,0,0,0,0,0
1009,Trevor Booker,0,0,2010,23,MIN,Clemson University,6,393,7960,2542,2043,346,0.515,0.311,0.617,20.3,6.5,5.2,0.9,20.1,0.121,0.3,4.7,David Kahn,1442 days 00:00:00.000000000,42,2,1,0,0,0,0,0
1010,Paulao Prestes,0,0,2010,45,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,David Kahn,1442 days 00:00:00.000000000,42,2,0,0,0,0,0,0
1011,Hamady N'Diaye,0,0,2010,56,MIN,Rutgers University,3,33,157,20,25,3,0.467,0,0.462,4.8,0.6,0.8,0.1,0,0.013,-4.9,-0.1,David Kahn,1442 days 00:00:00.000000000,42,2,1,0,0,0,0,0
1012,Derrick Williams,0,0,2011,2,MIN,University of Arizona,5,376,8051,3503,1562,265,0.433,0.299,0.715,21.4,9.3,4.2,0.7,13,0.078,-3.1,-2.2,David Kahn,1442 days 00:00:00.000000000,42,3,1,0,0,0,0,1
1013,Donatas Motiejunas,0,0,2011,20,MIN,0,4,214,4074,1676,848,236,0.475,0.308,0.612,19,7.8,4,1.1,7,0.083,-1.8,0.2,David Kahn,1442 days 00:00:00.000000000,42,3,0,0,0,0,0,1
1014,Robbie Hummel,0,0,2012,58,MIN,Purdue University,2,98,1397,379,266,50,0.418,0.343,0.867,14.3,3.9,2.7,0.5,1.9,0.066,-2.9,-0.3,David Kahn,1442 days 00:00:00.000000000,42,4,1,0,0,0,1,0
1015,Bob McCann,0,0,1987,32,MIL,Morehead State University,5,178,2385,739,468,104,0.479,0.2,0.577,13.4,4.2,2.6,0.6,2,0.041,-3.3,-0.8,Del Harris,1769 days 00:00:00.000000000,43,1,1,0,0,0,0,0
1016,Winston Garland,0,0,1987,40,MIL,Missouri State University,7,511,13391,4799,1433,2421,0.43,0.281,0.83,26.2,9.4,2.8,4.7,14.2,0.051,-1.8,0.5,Del Harris,1769 days 00:00:00.000000000,43,1,1,0,0,0,0,0
1017,J. J. Weber,0,0,1987,64,MIL,University of Wisconsin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Del Harris,1769 days 00:00:00.000000000,43,1,1,0,0,0,0,0
1018,Darryl Bedford,0,0,1987,87,MIL,Austin Peay State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Del Harris,1769 days 00:00:00.000000000,43,1,1,0,0,0,0,0
1019,Brian Vaughns,0,0,1987,110,MIL,"University of California, Santa Barbara",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Del Harris,1769 days 00:00:00.000000000,43,1,1,0,0,0,0,0
1020,Gay Elmore,0,0,1987,133,MIL,Virginia Military Institute,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Del Harris,1769 days 00:00:00.000000000,43,1,1,0,0,0,0,0
1021,Jeff Grayer,0,0,1988,13,MIL,Iowa State University,9,438,8277,3257,1294,635,0.457,0.255,0.663,18.9,7.4,3,1.4,9,0.052,-2.6,-1.3,Del Harris,1769 days 00:00:00.000000000,43,2,1,0,0,0,0,0
1022,Tito Horford,0,0,1988,39,MIL,University of Miami,3,63,376,93,84,5,0.3,0,0.628,6,1.5,1.3,0.1,-0.5,-0.069,-10.1,-0.8,Del Harris,1769 days 00:00:00.000000000,43,2,1,0,0,0,0,0
1023,Mike Jones,0,0,1988,63,MIL,Auburn University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Del Harris,1769 days 00:00:00.000000000,43,2,1,0,0,0,0,0
1024,Frank Kornet,0,0,1989,30,MIL,Vanderbilt University,2,89,595,171,95,30,0.369,0.263,0.596,6.7,1.9,1.1,0.3,0,-0.004,-6,-0.6,Del Harris,1769 days 00:00:00.000000000,43,3,1,0,0,0,0,0
1025,Terry Mills,0,0,1990,16,MIL,University of Michigan,11,678,16422,7175,3680,891,0.457,0.384,0.781,24.2,10.6,5.4,1.3,33.3,0.097,-0.7,5.5,Del Harris,1769 days 00:00:00.000000000,43,4,1,0,0,0,0,0
1026,Steve Henson,0,0,1990,44,MIL,Kansas State University,7,238,2282,739,176,465,0.403,0.432,0.869,9.6,3.1,0.7,2,3.8,0.079,-3.9,-1.1,Del Harris,1769 days 00:00:00.000000000,43,4,1,0,0,0,0,0
1027,Kevin Brooks,0,0,1991,18,MIL,University of Louisiana at Lafayette,3,126,1031,417,141,48,0.401,0.2,0.859,8.2,3.3,1.1,0.4,-0.1,-0.004,-7.9,-1.5,Del Harris,1769 days 00:00:00.000000000,43,5,1,0,0,0,0,0
1028,Bobby Phills,0,0,1991,45,MIL,Southern University and A&M College,9,467,13426,5153,1469,1246,0.443,0.39,0.738,28.7,11,3.1,2.7,27.2,0.097,0.5,8.6,Del Harris,1769 days 00:00:00.000000000,43,5,1,0,0,0,0,0
1029,Josh Harrellson,0,0,2011,45,NOH,University of Kentucky,3,75,888,265,227,26,0.438,0.347,0.629,11.8,3.5,3,0.3,2.1,0.116,-0.7,0.3,Dell Demps,2263 days 00:00:00.000000000,44,1,1,0,0,0,0,1
1030,Anthony Davis,1,3,2012,1,NOH,University of Kentucky,4,260,8823,5398,2518,433,0.516,0.281,0.78,33.9,20.8,9.7,1.7,37.7,0.205,4.2,13.8,Dell Demps,2263 days 00:00:00.000000000,44,2,1,0,0,0,1,0
1031,Austin Rivers,0,0,2012,10,NOH,Duke University,4,273,5784,2030,520,541,0.408,0.329,0.637,21.2,7.4,1.9,2,2.9,0.024,-3.6,-2.4,Dell Demps,2263 days 00:00:00.000000000,44,2,1,0,0,0,1,0
1032,Darius Miller,0,0,2012,46,NOH,University of Kentucky,3,102,1460,320,131,89,0.42,0.351,0.841,14.3,3.1,1.3,0.9,1.2,0.04,-2.5,-0.2,Dell Demps,2263 days 00:00:00.000000000,44,2,1,0,0,0,1,0
1033,Nerlens Noel,0,0,2013,6,NOH,University of Kentucky,2,142,4276,1491,1153,250,0.49,0.5,0.6,30.1,10.5,8.1,1.8,7,0.079,0.7,3,Dell Demps,2263 days 00:00:00.000000000,44,3,1,0,0,1,0,0
1034,Noah Vonleh,0,0,2014,9,NOH,Indiana University,2,103,1433,366,391,34,0.415,0.271,0.727,13.9,3.6,3.8,0.3,1.6,0.054,-4.3,-0.8,Dell Demps,2263 days 00:00:00.000000000,44,4,1,0,1,0,0,0
1035,Shabazz Napier,0,0,2014,24,NOH,University of Connecticut,2,106,1612,464,168,227,0.361,0.347,0.762,15.2,4.4,1.6,2.1,0.6,0.016,-3.5,-0.6,Dell Demps,2263 days 00:00:00.000000000,44,4,1,0,1,0,0,0
1036,Dwight Powell,0,0,2014,45,NOH,Stanford University,2,98,1228,489,323,53,0.488,0.185,0.743,12.5,5,3.3,0.5,3.7,0.145,-0.4,0.5,Dell Demps,2263 days 00:00:00.000000000,44,4,1,0,1,0,0,0
1037,Branden Dawson,0,0,2015,56,NOH,Michigan State University,1,6,29,5,4,0,0.4,0,1,4.8,0.8,0.7,0,0,0.069,-6.6,0,Dell Demps,2263 days 00:00:00.000000000,44,5,1,1,0,0,0,0
